Timestamp,Latitude,Longitude,Road,Village,Town,City,State,Country,Postcode,Elevation
"2026-09-07T15:21:48.407Z","6.516699","100.241128","-","-","柏斯里","柏斯里","玻璃市州","马来西亚","02400","20"
"2026-09-07T15:21:49.841Z","6.516699","100.241128","-","-","柏斯里","柏斯里","玻璃市州","马来西亚","02400","20"
"2026-09-07T15:21:54.132Z","3.139","101.6869","白沙罗路","孟沙","-","吉隆坡","-","马来西亚","50566","55"
"2026-09-07T15:21:58.028Z","3.139","101.6869","白沙罗路","孟沙","-","吉隆坡","-","马来西亚","50566","55"
"2026-09-07T15:22:09.188Z","-33.9249","18.4241","-","Cape Town Ward 115","-","開普敦/开普敦","西開普省","南非","8001","17"
"2026-09-07T15:22:12.618Z","-33.9249","18.4241","-","Cape Town Ward 115","-","開普敦/开普敦","西開普省","南非","8001","17"
"2026-09-07T15:22:16.762Z","48.8566","2.3522","市政厅广场","第四区","-","巴黎","法兰西岛大区;法蘭西島大區","法国;法國","75004","36"
"2026-09-07T15:22:21.371Z","48.8566","2.3522","市政厅广场","第四区","-","巴黎","法兰西岛大区;法蘭西島大區","法国;法國","75004","36"
"2026-09-07T15:24:15.793Z","19.4326","-99.1332","Plaza de la Constitución","-","-","墨西哥城","墨西哥城","墨西哥","06060","2230"
"2026-09-07T15:24:18.927Z","19.4326","-99.1332","Plaza de la Constitución","-","-","墨西哥城","墨西哥城","墨西哥","06060","2230"
"2026-09-07T15:24:30.292Z","52.52","13.405","Spandauer Straße","Mitte","-","柏林","-","德国;德國","10178","37"
"2026-09-07T15:24:36.028Z","52.52","13.405","Spandauer Straße","Mitte","-","柏林","-","德国;德國","10178","37"
"2026-09-07T15:25:15.045Z","30.0444","31.2357","ميدان التحرير","باب اللوق","-","开罗","开罗","埃及","11519","22"
