Timestamp,Param_1_CPU 总体占用率,Param_2_CPU 核心1占用,Param_3_CPU 核心2占用,Param_4_CPU 核心3占用,Param_5_CPU 核心4占用,Param_6_CPU 核心频率,Param_7_CPU 逻辑处理器数,Param_8_CPU 芯片架构,Param_9_CPU 封装温度,Param_10_CPU 核心 1 温度,Param_11_CPU 核心电压,Param_12_CPU 功耗,Param_13_GPU 总体占用率,Param_14_GPU 核心温度,Param_15_GPU 核心频率,Param_16_GPU 显存频率,Param_17_GPU 核心电压,Param_18_专用显存占用,Param_19_系统内存占用率,Param_20_可用系统内存,Param_21_系统内存总量,Param_22_页面文件/虚拟内存,Param_23_磁盘/存储占用率,Param_24_磁盘读取吞吐,Param_25_磁盘写入吞吐,Param_26_磁盘读取延迟,Param_27_磁盘写入延迟,Param_28_磁盘温度,Param_29_加速度计 (X轴),Param_30_加速度计 (Y轴),Param_31_加速度计 (Z轴),Param_32_陀螺仪 (Pitch/X),Param_33_陀螺仪 (Roll/Y),Param_34_陀螺仪 (Yaw/Z),Param_35_磁力计 X 场,Param_36_磁力计 Y 场,Param_37_磁力计 Z 场,Param_38_气压计 (大气压),Param_39_环境光传感器,Param_40_接近传感器距离,Param_41_GPS 纬度,Param_42_GPS 经度,Param_43_GPS 海拔高度,Param_44_GPS 地面速度,Param_45_GPS 运动航向,Param_46_GPS 垂直精度,Param_47_GPS 水平精度,Param_48_重力矢量 X,Param_49_重力矢量 Y,Param_50_重力矢量 Z,Param_51_线性加速度,Param_52_旋转矢量传感器,Param_53_电池电量百分比,Param_54_电池端子电压,Param_55_电池电流流速,Param_56_电池内部温度,Param_57_电源充电状态,Param_58_电池健康容量,Param_59_电池剩余续航时间,Param_60_环境温度模拟,Param_61_环境相对湿度,Param_62_麦克风声压级,Param_63_设备朝向 Alpha,Param_64_设备朝向 Beta,Param_65_设备朝向 Gamma,Param_66_计步器步数,Param_67_单步触发器,Param_68_显著运动触发,Param_69_主风扇转速,Param_70_次风扇转速,Param_71_水冷泵转速,Param_72_主板温度,Param_73_NFC 无线状态,Param_74_手电筒/闪光灯状态,Param_75_红外发射器状态,Param_76_Wi-Fi 热点名称 (SSID),Param_77_Wi-Fi 信号强度 RSSI,Param_78_Wi-Fi 链路速率,Param_79_蜂窝网络信号强度,Param_80_蜂窝网络技术类型,Param_81_已配对蓝牙设备数,Param_82_蓝牙信号 RSSI,Param_83_网络上行带宽,Param_84_网络下行带宽,Param_85_已发送网络数据包,Param_86_已接收网络数据包,Param_87_屏幕亮度等级,Param_88_屏幕刷新率,Param_89_屏幕分辨率宽度,Param_90_屏幕分辨率高度,Param_91_光学心率 (PPG),Param_92_血氧饱和度 (SpO2),Param_93_指纹识别传感器,Param_94_人脸识别状态,Param_95_操作系统运行时间,Param_96_活跃运行进程数,Param_97_活跃线程总数,Param_98_本地局域网 IP,Param_99_SIM卡就绪状态,Param_100_设备静音物理开关
"2026-09-08T14:32:48.761Z","34.0%","28.1%","24.8%","29.6%","27.7%","2.4 GHz","4","iPhone","41.1 °C","37.1 °C","1.12 V","5.2 W","12.6%","40.6 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","-0.07 m/s²","0.10 m/s²","-0.49 m/s²","40.7 rad/s","-7.0 rad/s","4.2 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","4.2°","40.7°","-7.0°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","6 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
"2026-09-08T14:32:51.654Z","22.2%","34.3%","8.4%","16.4%","29.2%","2.4 GHz","4","iPhone","39.5 °C","38.5 °C","1.12 V","3.6 W","16.8%","42.8 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","-0.24 m/s²","-0.07 m/s²","-0.29 m/s²","38.8 rad/s","-13.7 rad/s","7.0 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","7.0°","38.8°","-13.7°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","9 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
"2026-09-08T14:32:55.430Z","19.9%","29.1%","19.2%","15.1%","31.6%","2.4 GHz","4","iPhone","41.4 °C","41.3 °C","1.12 V","4.4 W","17.9%","39.1 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","0.33 m/s²","-0.06 m/s²","-0.31 m/s²","40.1 rad/s","16.0 rad/s","349.5 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","349.5°","40.1°","16.0°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","12 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
"2026-09-08T14:33:00.436Z","12.0%","15.3%","6.2%","7.8%","26.0%","2.4 GHz","4","iPhone","42.1 °C","38.6 °C","1.12 V","4.7 W","7.1%","42.1 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","-0.08 m/s²","0.20 m/s²","-0.25 m/s²","42.3 rad/s","2.0 rad/s","358.2 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","358.2°","42.3°","2.0°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","17 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
"2026-09-08T14:33:05.439Z","22.6%","14.5%","17.8%","16.0%","29.1%","2.4 GHz","4","iPhone","42.2 °C","40.4 °C","1.12 V","3.9 W","17.2%","41.8 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","0.05 m/s²","0.04 m/s²","0.01 m/s²","43.7 rad/s","2.0 rad/s","358.0 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","358.0°","43.7°","2.0°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","22 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
"2026-09-08T14:33:10.440Z","10.5%","17.9%","17.9%","16.8%","29.8%","2.4 GHz","4","iPhone","41.2 °C","38.5 °C","1.12 V","4.4 W","5.3%","39.7 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","0.15 m/s²","0.08 m/s²","0.09 m/s²","38.9 rad/s","1.8 rad/s","359.1 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","359.1°","38.9°","1.8°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","27 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
"2026-09-08T14:33:15.440Z","23.3%","21.2%","34.9%","11.7%","17.9%","2.4 GHz","4","iPhone","42.2 °C","41.5 °C","1.12 V","4.1 W","13.2%","39.9 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","-0.07 m/s²","-0.03 m/s²","0.11 m/s²","35.1 rad/s","1.2 rad/s","2.5 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","2.5°","35.1°","1.2°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","32 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
"2026-09-08T14:33:20.441Z","20.9%","34.7%","25.8%","20.0%","17.6%","2.4 GHz","4","iPhone","41.4 °C","37.3 °C","1.12 V","4.1 W","15.2%","41.7 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","0.04 m/s²","-0.02 m/s²","0.05 m/s²","35.6 rad/s","1.6 rad/s","2.6 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","2.6°","35.6°","1.6°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","37 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
"2026-09-08T14:33:25.442Z","10.5%","5.6%","34.2%","17.2%","32.8%","2.4 GHz","4","iPhone","43.3 °C","38.6 °C","1.12 V","5.0 W","5.5%","41.8 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","0.02 m/s²","0.02 m/s²","0.04 m/s²","37.3 rad/s","1.8 rad/s","2.6 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","2.6°","37.3°","1.8°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","42 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
"2026-09-08T14:33:30.448Z","25.3%","25.0%","26.7%","9.6%","18.8%","2.4 GHz","4","iPhone","43.1 °C","38.9 °C","1.12 V","4.3 W","11.0%","39.6 °C","650 MHz","1600 MHz","0.95 V","1.2 GB","42%","4.8 GB","8 GB","2.1 GB","64%","124.5 MB/s","45.2 MB/s","1.2 ms","2.4 ms","34 °C","0.04 m/s²","0.00 m/s²","0.14 m/s²","37.4 rad/s","1.9 rad/s","2.6 rad/s","24.5 µT","-12.1 µT","42.8 µT","1013.25 hPa","350 lx","5.0 cm","6.516699°","100.241128°","18.9 m","0.0 m/s","180.0°","3.2 m","5.0 m","0.00","9.81","0.00","0.02 m/s²","Quaternion Active","100%","4.15 V","-350 mA","31.5 °C","充电中","98%","6h 45m","24.5 °C","55%","-42 dB","2.6°","37.4°","1.9°","4,821 steps","False","True","2200 RPM","0 RPM","1800 RPM","33.2 °C","Enabled","Off","Idle","Secure_Network_5G","-54 dBm","866 Mbps","-88 dBm","5G-NR","3 devices","-65 dBm","45 Mbps","180 Mbps","14,209","28,410","80%","60 Hz","393 px","852 px","74 BPM","98%","Active","Standby","47 s","142","1,204","192.168.1.105","Ready / Active","Unmuted"
